F5_6,F5_107,F5_54,F5_36,F5_37,F5_39,F5_55,ARPT_NAME,CITY,ST_PR,J5_3,J5_5,J5_6,J5_7,J5_8,J5_10,PRECISION,J5_12,J5_39,J5_14,J5_15,F5_14,F5_179,F5_197,CHRT_IDX,CLNK_IDX
00R,,3700,N30410910,W095010450,E005.1,151,LIVINGSTON MUN,LIVINGSTON,TX,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,1,1
00U,,4400,N45443980,W107393760,E010.0,3025,BIG HORN CO,HARDIN,MT,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+7:00=UTC,K1,Y,NAW,3,2
02A,,4000,N32510174,W086364116,W004.0,585,CHILTON CO,CLANTON,AL,USA,NNNYNNNNYNNNNN,NNNNN,NNYY,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,5,3
02G,,3500,N40402390,W080382910,W008.0,1161,COLUMBIANA CO,EAST LIVERPOOL,OH,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+5:00=UTC,K5,Y,NAW,9,5
03D,,3300,N40265010,W092133700,E003.0,813,MEMPHIS MEML,MEMPHIS,MO,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,12,6
04W,,2700,N46012258,W092534280,E000.0,1021,FIELD OF DREAMS,HINCKLEY,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,Y,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,15,8
04Y,,3300,N46530160,W096210220,E005.0,1210,HAWLEY MUN,HAWLEY,MN,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,17,9
05C,,4800,N41311143,W087235823,W003.0,634,GRIFFITH-MERRILLVILLE,GRIFFITH,IN,USA,YNNNNNNNNNNNNN,NNYNY,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K5,Y,NAW,20,11
05D,,3400,N47580428,W102284122,E007.0,1924,NEW TOWN MUN,NEW TOWN,ND,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,N,U,Y,+6:00=UTC,K3,Y,NAW,27,16
05U,EUE,7300,N39361350,W116001300,E013.0,5958,EUREKA,EUREKA,NV,USA,NNNYNNNNYNYNNN,NNNNN,NNNN,,N,N,Y,N,Y,+8:00=UTC,K2,Y,NAW,30,18
06A,,5000,N32273770,W085404810,W003.0,264,MOTON MUN,TUSKEGEE,AL,USA,NNNYNNNNNNYNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,34,20
06D,,4300,N48530390,W099371534,E005.0,1823,ROLLA MUN/LEONARD KRECH,ROLLA,ND,USA,NNNYNNNNYNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,37,22
06N,,2800,N41255488,W074232962,W013.0,523,RANDALL,MIDDLETOWN,NY,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,N,N,N,N,U,Y,+5:00=UTC,K6,Y,NAW,39,23
07F,,3200,N32314380,W094581830,E003.0,297,GLADEWATER MUN,GLADEWATER,TX,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K4,Y,NAW,42,25
07K,,3700,N41064540,W098030620,E005.0,1717,CENTRAL CITY MUN/LARRY REINEKE,CENTRAL CITY,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,45,27
08A,,3000,N32313840,W086195170,W003.0,197,WETUMPKA MUN,WETUMPKA,AL,USA,NNNYNNNNNNNNNN,NNNNN,NNYY,N,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,48,29
08D,,3900,N48180318,W102242431,E007.0,2250,STANLEY MUN,STANLEY,ND,USA,NNNYNNYNNNYNNN,NNNNN,NNNN,N,N,N,Y,N,Y,+6:00=UTC,K3,Y,NAW,51,31
08K,,3700,N40390480,W098044760,E005.0,1815,HARVARD STATE,HARVARD,NE,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+6:00=UTC,K3,Y,NAW,53,32
08N,,2600,N40172959,W076194349,W012.0,550,KELLER BROTHERS,LEBANON,PA,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,N,N,N,Y,U,Y,+5:00=UTC,K6,Y,NAW,56,34
09A,,4000,N32070950,W088073890,W003.0,134,BUTLER/CHOCTAW CO,BUTLER,AL,USA,NNNNNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+6:00=UTC,K7,Y,NAW,59,36
09J,,3700,N31042810,W081254000,W005.0,11,JEKYLL ISLAND,JEKYLL ISLAND,GA,USA,NNNYNNNNNNNNNN,NNNNN,NNNN,,N,N,Y,U,Y,+5:00=UTC,K7,Y,NAW,63,38
